site,date,dissolved_oxygen,temperature,pH
Madison,7/2/2014,7.84,24.3,NA
Madison,7/23/2014,7.52,24.1,NA
Madison,6/17/2015,8.34,18.7,NA
Madison,7/16/2015,8.14,21.6,NA
Madison,8/13/2015,7.82,21.5,NA
Madison,9/10/2015,7.89,23.6,NA
Madison,9/24/2015,8.79,19.1,NA
Madison,6/29/2016,8.23,22.3,NA
Madison,8/4/2016,7.77,24.1,NA
Madison,9/8/2016,8.17,22.2,NA
Madison,9/20/2016,8.74,19.3,NA
Madison River,6/22/2017,8.33,20.3,7.09
Madison River,8/17/2017,8.21,20.8,7.11
Madison River,8/31/2017,8.48,19.4,7.16
Madison River,9/13/2017,8.95,18.5,7.15
Madison River,9/21/2017,8.53,19.8,7.18
Madison River,8/23/2018,8.13,22.3,NA
Madison,8/29/2018,8.09,24.8,7.1
Madison,9/12/2018,8.72,19.2,NA
Madison,6/27/2019,8.27,19.3,6.85
Madison,8/15/2019,7.72,22.1,6.76
Madison,9/5/2019,8.69,19.2,7.04
Madison,6/17/2021,8.75,19.8,7.3
Madison,7/8/2021,8.32,21.1,7.42
Madison,7/22/2021,8.27,21.5,7.26
Madison,8/3/2021,8.36,21.1,7.24
Madison,8/30/2021,8.34,21.8,7.31
Madison,7/7/2022,8.3,21.2,7.11
Madison,7/28/2022,7.74,24.7,NA
Madison,8/9/2022,7.73,23.6,NA
Madison,8/25/2022,8.04,22.9,NA
Madison,9/7/2022,8.62,19.2,NA
Madison,7/19/2023,7.1,24.5,6.75
Madison,8/2/2023,7.74,22.1,6.92
Madison,8/23/2023,8.25,20.8,7.16
Madison,9/12/2023,8.11,21.6,7.04
Madison,6/3/2024,8.73,18.9,7.02
Missouri,7/2/2014,7.87,24.3,NA
Missouri,7/23/2014,7.58,24.1,NA
Missouri,9/24/2014,9.71,16.4,NA
Missouri,6/17/2015,8.42,18.8,NA
Missouri,7/16/2015,8.12,22,NA
Missouri,8/13/2015,7.92,21.9,NA
Missouri,9/10/2015,7.88,23.6,NA
Missouri,9/24/2015,8.77,19.1,NA
Missouri,6/29/2016,8.01,22.5,NA
Missouri,8/4/2016,7.77,24.5,NA
Missouri,9/8/2016,8.14,22.5,NA
Missouri,9/20/2016,8.71,19.5,NA
Missouri,6/22/2017,8.39,20.4,7.17
Missouri,8/17/2017,7.94,20.9,7.08
Missouri,8/31/2017,8.48,19.4,7.18
Missouri,9/13/2017,8.97,18.9,7.16
Missouri,9/21/2017,8.47,20.1,7.17
Missouri,7/11/2018,7.92,23.5,7.07
Missouri,7/18/2018,7.74,23.7,7.11
Missouri,8/2/2018,7.69,25,NA
Misouri,8/23/2018,8.15,22.7,NA
Missouri,8/29/2018,8.8,25.9,7.53
Missouri,9/12/2018,8.63,19.3,NA
Missouri,6/27/2019,8.36,19.4,6.93
Missouri,8/15/2019,8.08,22.3,7.04
Missouri,9/5/2019,8.69,19.2,7.09
Missouri,6/17/2021,8.59,20.4,7.26
Missouri,7/8/2021,8.37,21.2,7.52
Missouri,7/22/2021,8.88,19.8,7.32
Missouri,8/3/2021,8.35,21,7.24
Missouri,8/30/2021,8.58,22,7.37
Missouri,7/7/2022,8.37,21.4,6.97
Missouri,7/28/2022,7.85,25.3,NA
Missouri,8/9/2022,7.94,23.7,NA
Missouri,8/25/2022,8.11,22.9,NA
Missouri,9/7/2022,8.62,19.5,NA
Missouri,8/2/2023,7.87,22,7.04
Missouri,8/23/2023,8.38,20.8,7.24
Missouri,9/12/2023,8.16,21.6,7.28
Missouri,6/3/2024,8.73,18.5,6.83
Yellowstone,7/2/2014,7.86,23.9,NA
Yellowstone,7/23/2014,7.6,24.2,NA
Yellowstone,9/24/2014,9.8,16,NA
Yellowstone,6/17/2015,8.47,18.8,NA
Yellowstone,7/16/2015,8,21.9,NA
Yellowstone,8/13/2015,7.92,22.5,NA
Yellowstone,9/10/2015,7.67,23.9,NA
Yellowstone,9/24/2015,8.69,18.8,NA
Yellowstone,8/4/2016,7.71,25.2,NA
Yellowstone,9/8/2016,8.12,22.8,NA
Yellowstone,9/20/2016,8.65,19.7,NA
Yellowstone,6/22/2017,8.37,20.4,7.17
Yellowstone,8/17/2017,7.99,21.7,7.11
Yellowstone,8/31/2017,8.45,19.5,7.2
Yellowstone,9/13/2017,8.81,18.9,7.12
Yellowstone,9/21/2017,8.42,20.3,7.21
Yellowstone,7/11/2018,7.84,23.5,7.13
Yellowstone,7/18/2018,7.85,23.3,7.12
Yellowstone,8/2/2018,7.53,25.1,NA
Yellowstone,8/23/2018,8.04,22.7,NA
Yellowstone,8/29/2018,8.03,25.6,7.23
Yellowstone,9/12/2018,8.74,19,NA
Yellowstone,6/27/2019,8.46,19.2,6.99
Yellowstone,8/15/2019,7.97,22.2,7.09
Yellowstone,9/5/2019,8.62,19,7.1
Yellowstone,6/17/2021,8.47,20.7,6.82
Yellowstone,7/8/2021,8.27,21.4,7.45
Yellowstone,8/3/2021,8.35,21,7.32
Yellowstone,8/30/2021,8.29,21.7,7.33
Yellowstone,7/7/2022,8.23,21.6,6.83
Yellowstone,7/28/2022,7.48,25.5,NA
Yellowstone,8/9/2022,7.71,23.6,NA
Yellowstone,8/25/2022,8.02,22.6,NA
Yellowstone,9/7/2022,8.6,19.9,NA
Yellowstone,8/2/2023,7.98,21.8,7.05
Yellowstone,8/23/2023,8.43,20.5,7.17
Yellowstone,9/12/2023,8.18,21.5,7.2
Yellowstone,6/3/2024,8.72,18.7,6.93
Gallatin,7/2/2014,7.83,24.1,NA
Gallatin,7/23/2014,7.67,24.7,NA
Galatin,8/27/2014,7.95,NA,NA
Gallatin,9/24/2014,9.58,15.5,NA
Gallatin,6/17/2015,8.48,19.2,NA
Gallatin,7/16/2015,7.93,22.8,NA
Gallatin,8/13/2015,7.87,22.1,NA
Gallatin,9/10/2015,7.75,24.4,NA
Gallatin,9/24/2015,8.67,19.2,NA
Gallatin,6/29/2016,7.91,23.3,NA
Gallatin,8/4/2016,7.86,25.6,NA
Gallatin,9/8/2016,8.08,23.3,NA
Gallatin,9/20/2016,8.6,20,NA
Gallatin,6/22/2017,8.38,21.9,7.19
Gallatin,8/31/2017,8.47,20.1,7.19
Gallatin,9/13/2017,8.77,19.3,7.12
Gallatin,9/21/2017,8.49,21.1,7.18
Gallatin,7/11/2018,7.7,25.1,7.06
Gallatin,7/18/2018,7.83,24,7.14
Gallatin,8/2/2018,7.79,26.1,NA
Gallatin,8/23/2018,7.93,22.9,NA
Gallatin,8/29/2018,8.01,25.2,6.98
Gallatin,9/12/2018,8.88,19.3,NA
Gallatin,6/27/2019,8.36,19.9,6.93
Gallatiin,7/25/2019,7.8,23.8,7.09
Gallatin,8/15/2019,7.87,22.6,7.03
Gallatin,9/5/2019,8.58,19.1,7.11
Gallatin,7/22/2020,7.99,25.4,7.28
Gallatin,6/17/2021,8.38,21.2,7.29
Gallatin,7/8/2021,8.77,21.8,7.35
Gallatin,7/22/2021,7.82,22.7,7.19
Gallatin,8/3/2021,8.35,22.7,7.25
Gallatin,8/30/2021,7.99,22.5,7.21
Gallatin,7/7/2022,8.23,23.5,NA
Gallatin,7/28/2022,0,25.4,NA
Gallatin,8/9/2022,7.36,24.2,NA
Gallatin,8/25/2022,7.9,23.1,NA
Gallatin,9/7/2022,8.71,20.3,NA
Gallatin,7/19/2023,7.4,24.4,6.68
Gallatin,8/2/2023,8.05,23.2,NA
Gallatin,8/23/2023,8.47,21.5,7.1
Gallatin,9/12/2023,8.24,22,7.12
Gallatin,6/3/2024,8.77,20.4,7.09